Gene_symbol Ratio_2h Ratio_6h Ratio_12h Ratio_18h Ratio_24h Count_2h Count_6h Count_12h Count_18h Count_24h
DDX20 0.0674701045324974 0.152227530130272 -0.024603367140657 -0.184470736640092 -0.299361897651559 8 16 13 15 14
DDX21 -0.0618453070710695 -0.34698524674227 -0.317304068361915 -0.620398730597198 -0.491493980872165 23 23 25 28 24
DDX23 -0.0430644786649374 -0.032383005311653 -0.00690836934217753 -0.0738202332916713 0.0403485289537801 26 25 21 29 24
DDX24 -0.0688771408503078 -0.559540758771391 -0.744763886953294 -0.820403647862436 -0.959918496689248 21 19 14 13 16
DDX27 -0.186627326682922 -0.363002822988679 -0.707436441896801 -0.777030385200806 -0.790104741346454 10 12 11 11 11
DDX39A;DDX39 -0.0499095224430581 -0.0200576523412534 -0.0799753767205958 -0.0816123228578898 -0.0797023716973782 22 18 16 16 14
DDX3X 0.00497142670553199 -0.0637790297705712 -0.0247451901971378 -0.214249170254514 -0.246712100531861 51 54 53 60 52
DDX3Y -0.0553345017510994 -0.228356954201048 -0.157949153783694 -0.329869872317659 -0.0124971626829022 3 3 3 3 3
DDX41 0.0506070090114578 -0.0723116400224264 0.180871395426565 0.00805827456457217 0.136220096204122 14 14 16 11 16
DDX42 0.0213211118104386 0.0128392402604068 0.0650382093514695 0.0160159247307418 0.0010391145555862 35 43 30 37 41
DDX46 -0.0291348040530228 -0.0313951962755344 0.0342341819526229 -0.00245049923482243 -0.0371713376446436 65 78 66 72 77
DDX47 0.0236656950871895 -0.122738971954545 -0.0859684538621651 -0.206643223983395 -0.298423711931038 22 20 19 24 22
DDX49 0.0203697121720635 -0.137634671883373 0.022610161065122 0.0010391145555862 0.123984093260297 2 2 3 4 3
DDX5 -0.0877343818197254 -0.0469799081444094 -0.0392787953513676 -0.222433640605915 -0.245495662819921 62 66 67 77 65
DDX50 0.110697799847855 -0.100439479280312 0.0180158665713595 -0.277151610677493 -0.187134291474536 20 20 18 19 22
DDX51 -0.0197730690400272 -0.138814468902282 -0.273336847150222 -0.400210007081831 -0.367035516155009 13 13 7 10 9
DDX52 -0.0907179597677998 -0.774502445109659 -1.01435529297707 -0.810319703411077 -1.04663074794016 4 6 4 5 6
DDX54 -0.00647756407120474 -0.758388465479352 -0.939527499675566 -1.15205358688785 -1.37339764919421 6 5 4 3 5
DDX55 0.00810179849696444 -0.15224833075742 -0.0855606248726255 -0.430499386222592 -0.281549893366642 9 11 9 7 11
DDX56 -0.0724488500696925 -0.282499112935971 -0.557875677239934 -0.873498251014958 -0.756169328139299 9 13 7 8 10
DDX6 -0.00158609235402637 0.0108755286751818 0.0790055336450998 -0.0199153677076859 -0.0150693217176481 28 29 27 29 30
DECR1 0.0287930758440413 0.0452081191249148 0.122554134165541 0.326714954831402 0.475013615574053 7 8 7 9 7
DEF6 0.0665028974881433 -0.042224073762985 0.1893348019686 0.125147962949114 0.14707429932848 15 18 12 15 15
DEK -0.0192037339730927 -0.0150693217176481 -0.0945063386814923 -0.148088082645336 -0.0521376233351752 32 34 30 32 30
DENR 0.0689675314116142 -0.0209110655816899 0.877870671640891 -0.106884288691543 0.26035924561936 4 4 2 4 2
DERA 0.0199015611822088 0.0611045089262064 0.195054328230301 0.515150366292504 0.356088411799348 6 9 8 8 8
DFFA 0.114144542465059 0.0667899694086686 0.0725737784421348 0.269216596792788 0.0735754287143136 5 8 8 8 10
DGCR8 -0.0100636833446974 -0.0289934118795487 0.00484114183462676 0.0970697431848149 0.00743457578033849 10 11 11 12 11
DGKA 0.0946645056805849 0.0507414932901094 0.025147677460937 0.0660799482222706 0.0352391221473269 34 33 27 30 29
DGKE 0.0957895343180198 -0.0997664862929298 -0.145481822265525 -0.258338011169037 0.182294889772829 1 3 3 2 2
DGKZ 0.0386582006515798 -0.0157829972409274 0.0459824087132787 0.374916582077966 0.490395358528593 4 6 4 3 6
DHFR -0.0539454249627852 -0.0336520524899971 0.232582492707201 0.037798968584578 0.0660346395828848 6 5 7 6 6
DHPS 0.135681108742051 0.100406705949322 0.14916857955725 0.251092287625361 0.213186204807737 18 26 24 24 24
DHX15 0.000548328304515314 -0.064744920035355 -0.0124971626829022 -0.161694235436132 -0.146915848087275 77 81 81 92 72
DHX16 0.0132614235860981 -0.118758388979835 -0.0377336274465149 -0.0750533646045073 -0.0776531856501613 18 21 14 14 20
DHX30 -0.0749164020524617 -0.109026176498367 -0.125254339031466 -0.250233980826755 -0.352193537745032 19 16 16 19 23
DHX35 0.183932827097824 0.00959691717277701 -0.164528860881369 -0.0356239097307212 -0.106348319505147 2 3 3 4 2
DHX36 -0.0788830465219891 -0.0706641007787897 -0.0325240656921993 -0.0511632525821146 -0.259423152281415 8 15 11 11 10
DHX37 0.0382581496463513 0.000144276718044916 -0.203389117367087 -0.306962124140456 -0.0795658498102748 4 4 5 3 4
DHX38 -0.0271540515037266 -0.121148056475311 -0.0231843692482633 -0.0644690173684425 0.122475606046682 11 11 11 9 11
DHX40 0.097085174316092 -0.107955630087393 0.0378137785959306 -0.141563582375003 -0.141432790929296 6 7 5 4 4
DHX8 -0.0130691500195213 -0.281668579972845 0.00921936235368081 -0.0980152338689595 -0.0432044985651675 15 14 14 13 18
DHX9 0.0174024509747793 -0.0818849667292274 0.00818885030110122 -0.10701824988212 -0.0825663510714118 120 130 113 140 112
DIABLO 0.00010099218763005 -0.0189189821630518 0.0407194799122949 0.0948647890515081 0.0709665213541436 11 10 9 12 11
DIAPH1 0.296279110299009 0.264183248386362 0.355553003325522 0.35274996988441 0.415018263473204 8 8 9 13 9
DICER1 0.0768432113998765 0.105069735112402 0.10080889834195 0.230143647686929 -0.114500293165193 4 2 2 4 4
DIDO1 0.10553531585704 0.0382433350726203 -0.0786098346963665 -0.0880058712900201 -0.0965317426936287 8 11 5 11 9
DIMT1L -0.0739572999433244 -0.280362489973778 -0.419538891513784 -0.579759427412543 -0.69438992740731 4 5 4 4 5
DIP2B 0.147266015353774 0.00640533735198301 0.137124144840321 0.0969617298870878 -0.0736831536164399 5 11 7 6 16
DIS3 -0.0691522018694229 -0.193960936897822 -0.109427426686154 -0.273814244587037 -0.176195094863408 15 22 18 20 21
DIS3L 0.148400856764854 0.310199897468911 0.0619777381268888 -0.0265876223480841 -0.291485685973561 3 5 5 4 7
DIS3L2 0.0700121124569742 0.12112559100305 0.0213503955972477 0.294367059749574 0.110526457468891 5 8 7 4 7
DKC1 -0.047957107396655 0.0364814860913899 -0.0709388213434375 -0.0869196067373262 -0.167614840755111 30 31 22 28 32
DLAT -0.0197730690400272 0.0372511050159087 -0.01292617444427 0.0171834371687314 0.0883160869588912 39 33 31 38 34
DLD 0.0165265951692934 0.0624748114452255 0.10119572756205 0.127399726304393 0.200299264398745 18 24 23 24 23
DLG1 -0.15704371014558 -0.0187765851791832 0.0588335780125028 -0.264596479490882 -0.0451633516032245 2 3 3 2 3
DLG3 0.0434972222299559 0.0584128708385235 0.13211934645059 0.0395920846247801 0.141080066260258 4 5 4 5 4
DLGAP4 0.271112991403414 -0.000865357443253293 0.0602017242273756 0.781008099459666 0.620245974592079 1 3 4 1 3
DLST -0.0637790297705712 -0.131326074606591 -0.0676387168753634 0.0599309989421211 0.0474875058065839 12 9 9 12 12
DMAP1 0.0223903553145803 -0.272739878117461 -0.381394131786851 -0.528471301882892 -0.238542314279151 3 2 2 3 3
DNAJA1 0.0981194362813425 0.0359637044252465 -0.177726482932068 -0.347892388195338 -0.471759741653384 16 20 17 19 16
DNAJA2 0.0520122412723056 0.126407257562367 0.0963292429176659 0.0260287843718711 -0.0110662014062054 17 13 17 15 14
DNAJA3 0.12304110393043 0.0575117683706643 -0.0230423926658638 -0.140909506541662 -0.23094077612394 9 13 8 10 12
DNAJB1 0.207677689721286 0.125903407804351 0.135269077685249 0.075033617129939 -0.0074825763312062 6 6 6 7 6
DNAJB11 0.00436353127715984 0.0621735344444044 0.0442408411531195 0.0946645056805849 0.14181206759826 13 16 11 12 15
DNAJB12 0.342524622319351 0.09952536862314 0.171904654627259 -0.0687395906723051 0.152147370163095 3 4 4 3 4
DNAJB6 0.0267634514215136 -0.961475162009635 -1.29413548067533 -1.36681177312713 -1.30544527855355 6 5 3 4 5
DNAJC11 -0.032383005311653 0.00715907381431772 -0.000865357443253293 -0.010636636108737 -0.198494153639083 10 13 6 11 10
DNAJC13 0.132388150498859 0.0103087314805191 0.255942265388777 0.0733173613848085 0.193717192521793 9 12 9 9 13
DNAJC17 -0.0425042631289634 -0.0144981269993529 0.0194043171517182 0.0372363007795354 0.190404458480957 16 15 17 13 16
DNAJC19 -0.353662044745063 -0.204516369702772 0.109607786381263 -0.14300150624249 -0.204015477399888 2 5 3 2 4
DNAJC5 0.0998654701098747 0.0558612075439316 0.0792798624234295 0.286761697583946 0.156546715184133 3 5 4 5 4
DNAJC7 0.0735147028365441 0.0856038645336672 -0.110630508096434 -0.392537245275131 -0.456806149230474 20 18 18 18 20
DNAJC8 -0.019346088804812 0.0213357536295429 0.0214382505242534 0.0217018474101221 0.0829272921539807 18 24 18 22 20
DNAJC9 -0.00547185121005944 0.0836762320105446 0.022991237049367 -0.0343565966466415 0.0998190879130539 19 18 16 21 16
DNM1L 0.0105267040496992 0.0380803848011165 -0.0257375614136083 -0.106348319505147 -0.0623980637984785 19 30 22 35 34
DNM2 0.0858794509797562 0.0424419414919983 0.0940484234921073 0.120780441140602 0.143962479339165 47 44 44 55 52
DNMBP 0.115425521773846 -0.0592168165537987 -0.169411951991355 -0.218471210743262 -0.397036240872176 18 21 20 16 19
DNMT1 0.112162828913259 -0.142870845096642 -0.282499112935971 -0.619553868981616 -0.363227157469133 30 37 35 37 29
DNMT3A 0.0544672050478763 -0.0196307563355084 0.0908951249402836 0.17538691143577 0.29201588148103 4 5 7 6 9
DNTT -0.0404015152842066 -0.108892401632409 -0.127765328148545 -0.459431618637297 -0.587749018366928 8 7 6 3 6
DNTTIP2 -0.136585152847626 -1.05491791912896 -1.08630822330885 -0.872789368006237 -1.06626144226872 10 11 8 9 11
DOCK2 0.0129411352694161 -0.0261626544896757 0.07859413825971 0.131977058698575 0.268191146846144 54 58 53 68 63
DOCK7 0.238016954443696 0.33211695549097 0.280737689963415 0.491409085095 0.415364547221612 2 6 2 4 7
DOCK8 0.0531044836743934 0.0592995041042354 0.193865701970777 0.211264182179956 0.330193119826162 12 14 12 16 14
DOHH -0.00705194251649007 -0.345396375391268 -0.184470736640092 -0.468531186162872 -0.609187604870425 4 4 4 4 4
DPF2 -0.00676478187842236 0.0869210306780344 0.0977797461078956 0.06425362753659 0.0106429695538684 5 5 5 7 5
DPH5 -0.0278617753545096 -0.0740943535738733 0.030810821175541 -0.0339339114419318 -0.300533772495368 3 3 4 3 6
DPM1 0.0234897191115023 0.0352686898115603 0.142034924353814 0.228858139727753 0.199835220774971 7 8 7 7 9
DPP3 0.00859516152029148 0.0249421632553939 0.00860967475186227 0.0640877129686382 0.0624748114452255 40 44 40 42 42
DPP9 -0.0371713376446436 0.0173732472128932 0.143834958149262 0.0399035136688149 0.187690723613914 11 10 10 7 11
DPY30 0.00316296685379669 0.0239003631165201 -0.00719550140420373 -0.0315363532680532 0.0583077132114929 10 16 14 21 14
DPYSL2 0.0460717765663459 0.0707089202391141 0.130033864563074 0.281859795903399 0.278811107167301 26 36 32 34 34
DR1 0.0492628552704633 0.0867524888526246 0.0105412367253233 0.109856859719685 0.0658081177276424 2 2 2 3 4
DRAP1 0.08447145078566 -0.0874628412503394 -0.0508847400250935 0.251796414115301 0.125604330246455 4 6 7 6 7
DRG1 -0.029276182370632 -0.0187765851791832 -0.11410045158818 -0.26219258817258 -0.378955461140907 14 13 12 12 13
DRG2 0.059419767526109 0.160572454025261 0.136235951825275 0.0848080214951202 -0.00173019613888269 2 2 3 3 3
DSN1 -0.12565110166152 0.0521318987326107 -0.0346383179990089 0.0781219400338306 0.22950075052647 5 6 3 5 6
DSTN 0.203169705907528 0.0617367945164814 0.319279575332547 0.355497627581064 0.402416386760383 3 4 4 4 5
DTL 0.188907161325854 -0.135928815526407 0.0850834559451201 -0.522055749160964 -0.631709644785603 5 6 3 3 5
DTX1 -0.298423711931038 -0.0226163790673486 0.275000555386793 0.438541882235168 0.367489804336559 4 7 5 7 7
DTYMK 0.0652947998274384 -0.0412429822318814 0.11822576351134 0.0900042215935991 0.127573084531106 24 20 20 28 18
DUS3L -0.00547185121005944 -0.00230646738316905 -0.113433802604049 -0.0877343818197254 -0.235727059838058 17 18 14 17 17
DUSP11 -0.151339301042281 -1.51929027903653 -2.08739494812151 -2.15254039728115 -1.84915860971469 4 7 4 5 6
DUSP12 0.128629443818545 -0.0127831846982896 0.191343118073247 -0.0163536835778348 -0.0140695825016559 5 6 6 6 7
DUSP3 NA -0.199248306840202 0.154538050519671 0.273273393047016 0.4003775108143 0 3 3 2 3
DUT 0.0192142397166317 0.0192727224140157 0.127100338423824 0.0572565582962209 0.014324708166401 10 13 11 13 13
DVL2 0.102604662469625 0.0817053681468373 -0.00877370706601606 0.253979672340665 0.156016155951673 10 12 5 7 9
DYM 0.313728081055226 0.079447533470923 0.0867678100231515 -0.0154975693953256 -0.07203718077288 3 3 3 3 3
DYNC1H1 -0.0316774964507602 -0.0938305716351356 0.029602780571575 0.0607884700169257 0.083890286257238 141 153 140 148 178
DYNC1I2 0.0125918109103073 -0.0761485971800829 0.117849996438312 0.333152532549616 0.143914657572037 10 9 13 11 13
DYNC1LI1 0.0269545261504793 0.0543323730354832 0.0665482208360467 0.00320634335020132 -0.00100953323319866 11 16 14 19 16
DYNC2H1 0.151794719210254 0.0571514849156442 0.253704434214079 0.113676175531386 0.440929187227245 3 3 1 4 3
DYNLL1 -0.028569152196771 0.00817434130230427 0.00908869331826291 -0.0504668703506619 -0.0226163790673486 6 8 9 5 11
DYNLL2 -0.000432743603971213 0.0264107645476594 -0.00877370706601606 -0.0315363532680532 0.0869976471081768 12 12 13 12 14
DYNLRB1 0.251933844728604 -0.0586628393785599 -0.0918013692176743 0.106233968814674 -0.0897693086335085 3 4 3 4 3
DYNLT1 -0.188780697792142 -0.167871708029161 0.254478675323637 -0.0272956240509075 0.265708754261269 3 3 3 2 3
DYRK1A -0.125386605365814 0.029912060480666 -0.0729975597999501 -0.0244615301409957 0.00340878424590838 9 13 9 10 15
EBNA1BP2 -0.0725860470685965 -0.0436244767470347 -0.0234682805039054 -0.196607044094818 -0.319039815562536 14 11 11 11 11
ECD 0.408339729774472 0.332625567121899 0.291750951284917 0.0287783581454976 -0.239275825882558 3 4 4 4 5
ECH1 -0.0547790315196196 -0.150299708101682 0.031518436549594 0.0858641392404942 0.219404330203509 20 18 18 20 21
ECHDC1 0.096792011042014 -0.139469495038796 0.00695610602545062 0.131076228674393 0.0825453297151219 8 9 8 8 9
ECHS1 -0.150169706295702 -0.0144981269993529 -0.0306892040711404 -0.0385766514523231 0.185146099054887 8 6 6 9 9
ECSIT -0.127633279725874 0.260687608082691 0.10062325715132 -0.0884130097267249 -0.3907777267512 5 5 3 2 5
EDC4 -0.00662118012237995 -0.0581086494011739 0.0159138123308768 0.135617711688852 0.12162777461657 35 43 33 40 45
EEA1 0.00971310776737631 0.0105412367253233 0.0798744204540533 0.0638162575537216 0.150160826535053 21 25 17 20 26
EED 0.0150534377326893 0.23592566047944 0.123811165734907 0.0492927117519299 0.132625372140656 8 7 8 8 9
EEF1A1;EEF1A1P5 0.0246779737156557 0.00627492293097845 -0.0460020465445205 -0.131721171155929 -0.109026176498367 85 112 119 112 125
EEF1B2 0.0792951044407128 0.0300593599346487 -0.0597705810902547 -0.0475383887633605 -0.0923427689954471 13 12 10 14 12
EEF1D -0.000721167243654123 0.0425905258870469 0.0335104675756453 0.0650382093514695 0.0423379415199003 32 32 30 30 30
EEF1E1;hCG_2043275 -0.102053382729188 -0.173639163570579 -0.0746424379344928 -0.186754084583183 -0.24731993497982 16 12 12 14 12
EEF1G -0.0227583975781575 0.0300593599346487 -0.0415233621843505 -0.0545012161825605 -0.0665370023957912 32 45 38 53 43
EEF2 -0.0540843928423791 -0.0550567933689352 -0.0859684538621651 -0.11609855223658 -0.0641930619274923 108 116 136 135 130
EEFSEC 0.0800269107078591 -0.0935601761623379 0.0849457321469938 0.0737272545924924 0.0521318987326107 6 7 9 7 9
EFHD2 0.0977025549489683 0.153703269015472 0.0820107521369895 0.177343263140827 0.139124580674776 22 22 18 21 25
EFR3A 0.00298947390870841 0.13294172835162 0.0720125512933788 0.19872543619193 0.298708233676518 4 4 6 4 5
EFTUD1 0.307376408775242 0.0170520448424734 -0.0585243118408003 0.124172765112816 0.0134944052135636 9 7 3 4 5
EFTUD2 -0.0547790315196196 -0.0206266505899579 -0.025170575734906 -0.0275787274742827 -0.0454429707611672 81 80 72 83 77
EGLN1 -0.0352015957185661 0.0420408400462318 -0.0489336451979224 0.251470068867769 0.363883529582437 4 3 3 5 2
EHBP1 0.0499795814152894 -0.0149265442381028 0.21891731051835 0.0406156040292189 0.0126936884446993 6 5 2 3 4
EHD1 0.0932325196212951 -0.00374613923289463 0.149216575799278 0.135855465004449 0.0561311701276098 12 13 13 14 16
EHD4 0.0390731855648075 -0.0472591754780128 0.0677724897613614 0.297165177788408 0.0427985697522305 4 6 4 4 9
EHMT1 -0.35963361304804 0.163946614338463 0.139474147737805 0.301603696674795 -0.0107798387532428 3 3 1 3 4
EIF1;EIF1B 0.0109627480114571 -0.0316774964507602 -0.13842131042025 -0.137896932389619 -0.210388864445403 12 14 4 10 12
EIF1AX;EIF1AY -0.0784732093786936 0.0211893421250193 -0.166329817920631 -0.273336847150222 -0.259543673148691 10 12 10 9 11
EIF2A -0.065572311593622 -0.0657101640652657 -0.060185765046563 -0.227001674589038 -0.164013888525057 24 26 24 24 30
EIF2AK2 0.0345296799393981 0.00513067974957988 0.0325362420897292 0.0630021976344421 -0.00963381939726867 10 20 14 16 16
EIF2B1 0.0313415001653909 0.0141935759270578 -0.0798388806666705 -0.00446543677030055 0.0254560036718538 13 18 12 12 19
EIF2B2 0.00352447751308252 0.0364075059035437 -0.044603950649768 -0.137110007802351 -0.0170667241898333 6 6 4 6 9
EIF2B3 -0.0207688650945718 -0.035905383742128 0.0537033235397416 0.0706937686646567 0.0760521850920743 14 12 14 14 13
EIF2B4 -0.323658291026245 -0.179128828772152 -0.0618453070710695 0.0829578535182194 -0.301236440765231 6 10 4 5 8
EIF2B5 0.0841808392574504 0.287641937175427 0.157157903977347 -0.00920382732983982 0.0892826859983091 8 12 8 10 10
EIF2C1 0.0689826648674068 0.0822092864007432 -0.0510240030244669 0.0934787816042498 0.134334520398604 6 10 7 3 10
EIF2C2 0.0210868629119605 0.0965760341112608 0.0367626454083049 0.0502335073341126 -0.0518592988352498 15 21 15 21 19
EIF2S1 0.0111808194239509 -0.0149265442381028 0.00955334811221122 -0.106750315060868 -0.0201999229434977 52 46 36 44 41
EIF2S2 -0.100035721161844 -0.0981500210920115 -0.204140716780225 -0.228233799560068 -0.134746655368488 12 14 13 11 14
EIF2S3;EIF2S3L -0.024603367140657 -0.066950243924627 -0.0244615301409957 -0.214622200648548 -0.065572311593622 34 34 25 32 39
EIF3A 0 -0.040822310107341 -0.0103501881695673 -0.048096653272944 -0.111832587077983 72 89 75 104 92
EIF3B -0.0184917490398792 0.0255734786108696 -0.0432044985651675 -0.107955630087393 -0.132905812011507 49 53 50 59 50
EIF3C;EIF3CL 0.0281750617419055 0.0272338347455151 0.0235337110931149 -0.0943712105925172 -0.106616328987784 63 60 50 67 49
EIF3D 0.0548867630232774 -0.0729975597999501 -0.084744620868468 -0.192320435034499 -0.18243805572491 36 33 34 39 39
EIF3E 0.0104976391376187 0.00705758635052941 -0.071076162010959 -0.129348967210841 -0.192446693735047 28 36 30 34 33
EIF3F 0.0638011781948508 -0.0294175468350917 0.0162639420813221 -0.0074825763312062 -0.0247451901971378 27 28 24 32 24
EIF3G -0.0200576523412534 0.0859713248281532 -0.0280032784727525 -0.00432160595009342 -0.0739572999433244 19 20 16 21 21
EIF3H 0.13142385080544 0.0306929190156535 -0.0412429822318814 -0.0935601761623379 -0.155878732704143 13 24 20 21 19
EIF3I -0.0243196791954129 -0.048794180260805 0.00560854438454487 -0.0973411087967018 0.055246481283739 25 17 19 23 17
EIF3J 0.0872275208145958 0.0735754287143136 -0.0788830465219891 -0.00547185121005944 0.00125569099039156 12 13 14 14 11
EIF3K 0.0242671083459581 0.197781962711839 -0.0287105859541402 -0.103531209877993 -0.0219060767336222 8 7 6 6 8
EIF3L -0.0363274918177651 -0.00561556740690985 -0.0308304301532745 -0.123401335971914 -0.0999011100079427 41 42 43 49 44
EIF3M 0.0163952626480704 0.0608336141940675 -0.0274371827068512 -0.103665482765697 -0.17976580835815 26 33 26 32 33
EIF4A1 -0.000432743603971213 -0.0170667241898333 -0.072860401931245 -0.220577606590899 -0.346077534535597 86 98 98 113 107
EIF4A2 0.188134440161384 0.251384200807481 -0.0201999229434977 -0.0499095224430581 -0.0439043942956212 10 17 11 13 15
EIF4A3 -0.0116387562468936 -0.0312540254705009 0.0760369772974503 0.0289255418878096 0.0110499726209691 71 76 72 78 65
EIF4B 0.101350488296463 0.13748909687166 0.0218629581086017 0.0114570905413397 -0.0409625477784978 19 20 15 14 15
EIF4E -0.0354831521286886 -0.0932897300014767 -0.0553345017510994 -0.0253123430460691 -0.0829750272577682 7 8 8 8 10
EIF4E2 0.073666522323871 -0.0582472168546628 -0.0858325236749548 -0.180529812810721 -0.0318186258263571 4 5 7 6 8
EIF4ENIF1 0.24977083176807 0.352271048618258 0.0225661972358034 0.0766149862201059 -0.035905383742128 4 7 5 4 10
EIF4G1 0.0366738523359148 -0.0196307563355084 -0.00532812069528167 -0.110229592423189 -0.188021051416948 56 66 56 57 64
EIF4G2 0.067001532644993 0.0122425711137466 -0.00489684321484749 -0.0264459803038008 -0.119024103142275 33 45 39 45 43
EIF4G3 0.0664122550637136 0.049486793943692 0.333116183926118 0.287096125365481 0.177343263140827 3 4 3 2 6
EIF4H 0.0218043703183483 0.0914637473945331 0.0362299689292373 0.0196967928842439 -0.0593552776164212 11 12 11 11 9
EIF5 0.00388607878244858 0.0303687377496115 -0.0395595572557058 -0.116497840501748 -0.345623464175128 13 9 8 10 8
EIF5A;EIF5AL1 -0.0255958358826835 -0.00705194251649007 -0.133826527298828 -0.133826527298828 -0.314870508536833 30 36 38 36 40
EIF5B 0.0307960828786093 0.0161618121261688 -0.0547790315196196 -0.0743684217815534 -0.0420839586712525 36 39 37 41 39
EIF6 0.0416546995773564 -0.0260209707143701 -0.042224073762985 -0.0366088286051013 -0.0539454249627852 14 12 12 12 12
ELAC2 -0.163885116708942 -0.0894981508391025 -0.112099579776235 -0.236462003838104 -0.281312490858144 14 16 14 20 14
ELAVL1 0.0184249552484122 0.00694160941884694 0.0225368887605332 0.0123880774215743 -0.0187765851791832 44 52 41 55 49
ELF1 -0.0329471640991291 0.0742435821249793 0.0937096903966392 -0.025170575734906 -0.0969364825029571 23 25 17 17 20
ELMO1 0.0586833113664392 0.017022848172752 0.147585598688242 0.300981481373803 0.329195913192948 21 18 17 18 26
ELP2 -0.0802483300921202 0.0301035527036676 0.00842101412851101 0.0248834502877441 0.0215114670504885 11 10 8 9 10
ELP3 0.162847935089239 0.167928251241232 0.14386683739003 0.0367922443135692 0.000707093822173319 5 5 5 3 4
ELP4 0.197963988501935 0.151762664306774 0.270329774045158 0.106901886792983 0.275402111488794 5 5 3 4 6
EMD -0.0525550094341053 -0.100170319756977 0.0273955644406103 0.054647000668488 0.0748816537181794 8 8 5 6 8
EMG1 -0.0697021666300674 -0.0305479641629666 -0.0398402645317911 -0.130535556756188 -0.207518076982545 17 20 15 19 13
EML2 0.0623542930949362 0.163025605897954 0.00118349523291689 0.186097755717865 -0.0315363532680532 3 5 3 4 6
EML4 0.147042349134347 0.100530445513121 0.121564992104473 0.0907261182313242 0.201642517365864 20 27 18 19 26
ENAH -0.0657101640652657 0.00910321151554194 0.00866772913819209 0.0287783581454976 0.0613302933986909 6 8 8 5 9
ENDOD1 NA 0.438385475574034 0.209194605412853 0.618251495638457 0.36775040004047 0 2 3 5 4
ENO1 -0.0553345017510994 -0.0275787274742827 -0.010206942869257 0.0250302371872846 -0.0486547018403464 275 318 269 248 309
ENO2 -0.00460925325258967 0.0308992541191074 -0.0172092900322231 0.0971777645700074 0.0587584427330573 37 41 37 37 44
ENOPH1 -0.0147837526270703 0.0493374976326826 0.0238710275252935 0.0469955686840761 -0.0169241442578214 8 10 8 10 11
ENPP4 0 0.121564992104473 0.0218190170428588 0.290868201831995 0.131566084004348 4 3 6 6 3
EP300 -0.159241659730106 0.0361412086342497 0.0897892583584663 0.0275867229123543 -0.0736831536164399 5 8 5 3 6
EP400 0.0442259650178048 -0.191688975733969 0.0750184200684385 -0.105141660323423 -0.0776531856501613 7 10 6 6 9
EPB41 0.0859100749458133 0.172229743363244 0.0723462276079399 0.164932906691401 0.24220865886243 11 11 7 8 10
EPB41L2 0.306073749507606 0.149120584911928 0.320810439266307 0.199288503769418 0.136283519734308 9 11 8 8 12
EPB41L5 0.0587434161467207 0.0725586072698704 0.158719218849233 0.20297041569781 0.392402183602286 3 3 3 3 6
EPHX2 0.0166141568258915 -0.0370307309449671 0.0485315644176205 0.0837220981041403 -0.0374525099396066 38 36 31 42 34
EPM2AIP1 0.152532178631589 0.10572159023314 0.392288569166478 0.51447012686415 0.475073774239736 9 10 7 5 10
EPN1 0.0820260230334939 0.241321591847853 0.220328440050558 0.0559361920834153 0.132577924691695 4 4 3 4 4
EPRS 0.0213211118104386 -0.0216218578515189 -0.000576962631520594 -0.0343565966466415 0.00248357195502094 83 86 82 85 100
EPS15 0.0111953586901917 0.121235428732646 0.0797829340377829 0.0657779175007068 0.133242331020583 5 6 3 7 7
EPS15L1 0.0576919438438152 0.102047117118231 0.140682395167652 0.127163362288449 0.144568358968266 20 19 16 16 21
ERAP1 0.111492471420951 0.00255583280225866 0.142162286529213 0.125793214122201 0.331971670810051 20 18 17 18 19
ERAP2 -0.208267528968692 0.0830342597613001 0.185113294501731 0.450320973149767 0.568922666692162 1 12 8 9 13
ERBB2IP -0.079019633034838 0.357566431640628 -0.125122060569824 0.333861513815196 0.186623076509592 6 9 8 8 14
ERC1 -0.323427718060933 0.121078520250149 0.252208745236221 -0.040822310107341 0.107181572204967 3 3 2 1 2
ERCC2 -0.19055165203227 -0.057554246458089 0.0140187514800698 0.0591191277665655 0.0044358863504174 7 7 8 6 7
ERCC3 -0.084744620868468 -0.402394750500615 -0.568810414880324 -0.371726121906207 -0.398788147633769 4 3 1 2 2
ERCC5 -0.0200576523412534 -0.231923873293763 -0.061015774681628 -0.0557509641184533 -0.00129784159564685 6 9 5 5 7
ERCC6L -0.294782468698072 -0.144307467263042 -0.053389419544635 -0.196607044094818 -0.138552375152649 6 9 7 7 8
ERGIC1 -0.11169907219742 -0.192572941386923 -0.0806576633452252 -0.297015288414472 -0.0441842575440038 6 8 9 8 7
ERH 0.0218629581086017 0.0406304429831848 -0.0211954245144897 0.000880312497559428 -0.0615688492680028 17 19 16 16 18
ERLEC1 -0.115699153431586 -0.218099174370145 -0.365244599589063 -0.274410769317838 -0.107553970289646 3 3 2 2 4
ERO1L -0.0180643893603616 0.00555061296763223 0.14044384511708 0.194558948271141 0.208260930096667 17 17 18 18 16
ERP29 0.0815069032121426 0.0360524537998103 0.0574967547635577 -0.00259451670845239 0.0957278661891386 13 19 20 20 18
ERP44 0.138743331363697 -0.00100953323319866 0.126155310687669 0.0514739054816547 0.368215866622844 8 10 8 7 9
ESD -0.125783331627324 -0.127897364486064 -0.0651586751285469 -0.0182068566533119 0.185080490694481 18 18 17 19 17
