gene_ENSG_id	gene_symbol	gene_description
FADS1	ENSG00000149485	fatty acid desaturase 1
FADS2	ENSG00000134824	fatty acid desaturase 2
FADS3	ENSG00000221968	fatty acid desaturase 3
FAF1	ENSG00000185104	Fas (TNFRSF6) associated factor 1
FAF2	ENSG00000113194	Fas associated factor family member 2
FAH	ENSG00000103876	fumarylacetoacetate hydrolase (fumarylacetoacetase)
FAH;DKFZp686F13224	NA	NA
FAHD1	ENSG00000180185	fumarylacetoacetate hydrolase domain containing 1
FAHD2A	ENSG00000115042	fumarylacetoacetate hydrolase domain containing 2A
FAHD2A;FAHD2B	NA	NA
FAHD2B	ENSG00000144199	fumarylacetoacetate hydrolase domain containing 2B
FAIM	ENSG00000158234	Fas apoptotic inhibitory molecule
FAIM3	ENSG00000162894	NA
FAM100A	ENSG00000153443	NA
FAM100B	ENSG00000185262	NA
FAM102A	ENSG00000167106	family with sequence similarity 102 member A
FAM102B	ENSG00000162636	family with sequence similarity 102 member B
FAM103A1	ENSG00000169612	family with sequence similarity 103 member A1
FAM104A	ENSG00000133193	family with sequence similarity 104 member A
FAM104B	ENSG00000182518	family with sequence similarity 104 member B
FAM105B	ENSG00000154124	NA
FAM107B	ENSG00000065809	family with sequence similarity 107 member B
FAM108A1	ENSG00000129968	NA
FAM108B1	ENSG00000107362	NA
FAM108C1	ENSG00000136379	NA
FAM109A	ENSG00000198324	family with sequence similarity 109 member A
FAM109B	ENSG00000177096	family with sequence similarity 109 member B
FAM110A	ENSG00000125898	family with sequence similarity 110 member A
FAM111A	ENSG00000166801	family with sequence similarity 111 member A
FAM111B	ENSG00000189057	family with sequence similarity 111 member B
FAM113A	ENSG00000132635	NA
FAM114A2	ENSG00000055147	family with sequence similarity 114 member A2
FAM115A	ENSG00000198420	NA
FAM115B	ENSG00000223459	NA
FAM115C	ENSG00000170379	NA
FAM116A	ENSG00000174839	NA
FAM116B	ENSG00000205593	NA
FAM117A	ENSG00000121104	family with sequence similarity 117 member A
FAM117B	ENSG00000138439	family with sequence similarity 117 member B
FAM118A	ENSG00000100376	family with sequence similarity 118 member A
FAM118B	ENSG00000197798	family with sequence similarity 118 member B
FAM119A	ENSG00000144401	NA
FAM119B	ENSG00000123427	NA
FAM120A	ENSG00000048828	family with sequence similarity 120A
FAM120AOS	ENSG00000188938	family with sequence similarity 120A opposite strand
FAM120B	ENSG00000112584	family with sequence similarity 120B
FAM120C	ENSG00000184083	family with sequence similarity 120C
FAM122A	ENSG00000187866	family with sequence similarity 122A
FAM122B	ENSG00000156504	family with sequence similarity 122B
FAM122C	ENSG00000156500	family with sequence similarity 122C
FAM123B	ENSG00000184675	NA
FAM124A	ENSG00000150510	family with sequence similarity 124 member A
FAM125A	ENSG00000141971	NA
FAM125B	ENSG00000196814	NA
FAM126A	ENSG00000122591	family with sequence similarity 126 member A
FAM126B	ENSG00000155744	family with sequence similarity 126 member B
FAM128A	ENSG00000173272	NA
FAM128B	ENSG00000152082	NA
FAM129B	ENSG00000136830	family with sequence similarity 129 member B
FAM131A	ENSG00000175182	family with sequence similarity 131 member A
FAM133B	ENSG00000234545	family with sequence similarity 133 member B
FAM134A	ENSG00000144567	family with sequence similarity 134 member A
FAM134C	ENSG00000141699	family with sequence similarity 134 member C
FAM136A	ENSG00000035141	family with sequence similarity 136 member A
FAM13A	ENSG00000138640	family with sequence similarity 13 member A
FAM13AOS	ENSG00000248019	NA
FAM13B	ENSG00000031003	family with sequence similarity 13 member B
FAM149A	ENSG00000109794	family with sequence similarity 149 member A
FAM149B1	ENSG00000138286	family with sequence similarity 149 member B1
FAM156A	ENSG00000182646	family with sequence similarity 156 member A
FAM158A	ENSG00000100908	NA
FAM160A2	ENSG00000051009	family with sequence similarity 160 member A2
FAM160B1	ENSG00000151553	family with sequence similarity 160 member B1
FAM160B2	ENSG00000158863	family with sequence similarity 160 member B2
FAM161A	ENSG00000170264	family with sequence similarity 161 member A
FAM161B	ENSG00000156050	family with sequence similarity 161 member B
FAM162A	ENSG00000114023	family with sequence similarity 162 member A
FAM168A	ENSG00000054965	family with sequence similarity 168 member A
FAM168B	ENSG00000152102	family with sequence similarity 168 member B
FAM169A	ENSG00000198780	family with sequence similarity 169 member A
FAM171A1	ENSG00000148468	family with sequence similarity 171 member A1
FAM171A2	ENSG00000161682	family with sequence similarity 171 member A2
FAM171B	ENSG00000144369	family with sequence similarity 171 member B
FAM172A	ENSG00000113391	family with sequence similarity 172 member A
FAM173A	ENSG00000103254	family with sequence similarity 173 member A
FAM173B	ENSG00000150756	family with sequence similarity 173 member B
FAM174A	ENSG00000174132	family with sequence similarity 174 member A
FAM174B	ENSG00000185442	family with sequence similarity 174 member B
FAM175A	ENSG00000163322	family with sequence similarity 175 member A
FAM175B	ENSG00000165660	family with sequence similarity 175 member B
FAM177A1	ENSG00000151327	family with sequence similarity 177 member A1
FAM178A	ENSG00000119906	NA
FAM178B	ENSG00000168754	family with sequence similarity 178 member B
FAM179B	ENSG00000198718	family with sequence similarity 179 member B
FAM182B	ENSG00000175170	family with sequence similarity 182 member B
FAM184B	ENSG00000047662	family with sequence similarity 184 member B
FAM185A	ENSG00000222011	family with sequence similarity 185 member A
FAM188A	ENSG00000148481	family with sequence similarity 188 member A
FAM189B	ENSG00000160767	family with sequence similarity 189 member B
FAM18B	ENSG00000171928	NA
FAM18B2	ENSG00000175106	NA
FAM190	ENSG00000107771	NA
FAM192A	ENSG00000172775	family with sequence similarity 192 member A
FAM193B	ENSG00000146067	family with sequence similarity 193 member B
FAM195A	ENSG00000172366	family with sequence similarity 195 member A
FAM195B	ENSG00000225663	family with sequence similarity 195 member B
FAM199X	ENSG00000123575	family with sequence similarity 199, X-linked
FAM19A2	ENSG00000198673	family with sequence similarity 19 (chemokine (C-C motif)-like), member A2
FAM200A	ENSG00000221909	family with sequence similarity 200 member A
FAM200B	ENSG00000237765	family with sequence similarity 200 member B
FAM203A;FAM203B	NA	NA
FAM208A	NA	family with sequence similarity 208 member A
FAM20B	ENSG00000116199	family with sequence similarity 20 member B
FAM21A	ENSG00000099290	family with sequence similarity 21 member A
FAM21A;FAM21C;FAM21B	NA	NA
FAM21B	ENSG00000152726	NA
FAM21C	ENSG00000172661	family with sequence similarity 21 member C
FAM22D	ENSG00000214562	NA
FAM24B	ENSG00000213185	family with sequence similarity 24 member B
FAM27A	ENSG00000182368	family with sequence similarity 27 member A pseudogene 1
FAM27E2	ENSG00000204807	family with sequence similarity 27 member E2
FAM32A	ENSG00000105058	family with sequence similarity 32 member A
FAM33B	ENSG00000232387	NA
FAM35A	ENSG00000122376	family with sequence similarity 35 member A
FAM36A	ENSG00000203667	NA
FAM38A	ENSG00000103335	NA
FAM38B	ENSG00000154864	NA
FAM3A	ENSG00000071889	family with sequence similarity 3 member A
FAM3C	ENSG00000196937	family with sequence similarity 3 member C
FAM40A	ENSG00000143093	NA
FAM40B	ENSG00000128578	NA
FAM45A	ENSG00000119979	family with sequence similarity 45 member A
FAM45B	ENSG00000221930	family with sequence similarity 45, member A pseudogene
FAM46C	ENSG00000183508	family with sequence similarity 46 member C
FAM48A	ENSG00000102710	NA
FAM49B	ENSG00000153310	family with sequence similarity 49 member B
FAM50A	ENSG00000071859	family with sequence similarity 50 member A
FAM53A	ENSG00000174137	family with sequence similarity 53 member A
FAM53B	ENSG00000189319	family with sequence similarity 53 member B
FAM53C	ENSG00000120709	family with sequence similarity 53 member C
FAM54A	ENSG00000146410	NA
FAM54B	ENSG00000117640	NA
FAM55C	ENSG00000144815	NA
FAM57A	ENSG00000167695	family with sequence similarity 57 member A
FAM57B	ENSG00000149926	family with sequence similarity 57 member B
FAM58A	ENSG00000147382	family with sequence similarity 58 member A
FAM59A	ENSG00000141441	NA
FAM59B	ENSG00000157833	NA
FAM60A	ENSG00000139146	family with sequence similarity 60 member A
FAM63A	ENSG00000143409	family with sequence similarity 63 member A
FAM63B	ENSG00000128923	family with sequence similarity 63 member B
FAM64A	ENSG00000129195	family with sequence similarity 64 member A
FAM65A	ENSG00000039523	family with sequence similarity 65 member A
FAM65B	ENSG00000111913	family with sequence similarity 65 member B
FAM69A	ENSG00000154511	family with sequence similarity 69 member A
FAM69B	ENSG00000165716	family with sequence similarity 69 member B
FAM72A	ENSG00000196550	family with sequence similarity 72 member A
FAM72B	ENSG00000188610	family with sequence similarity 72 member B
FAM72C	ENSG00000203817	family with sequence similarity 72 member C
FAM72D	ENSG00000215784	family with sequence similarity 72 member D
FAM73A	ENSG00000180488	family with sequence similarity 73 member A
FAM73B	ENSG00000148343	family with sequence similarity 73 member B
FAM76A	ENSG00000009780	family with sequence similarity 76 member A
FAM76B	ENSG00000077458	family with sequence similarity 76 member B
FAM78A	ENSG00000126882	family with sequence similarity 78 member A
FAM81A	ENSG00000157470	family with sequence similarity 81 member A
FAM82A1	ENSG00000115841	NA
FAM82A2	ENSG00000137824	NA
FAM82B	ENSG00000176623	NA
FAM83D	ENSG00000101447	family with sequence similarity 83 member D
FAM83F	ENSG00000133477	family with sequence similarity 83 member F
FAM83G	ENSG00000188522	family with sequence similarity 83 member G
FAM84B	ENSG00000168672	family with sequence similarity 84 member B
FAM86A	ENSG00000118894	NA
FAM86C	ENSG00000158483	NA
FAM89A	ENSG00000182118	family with sequence similarity 89 member A
FAM89B	ENSG00000176973	family with sequence similarity 89 member B
FAM8A1	ENSG00000137414	family with sequence similarity 8 member A1
FAM91A1	ENSG00000176853	family with sequence similarity 91 member A1
FAM92A1	ENSG00000188343	family with sequence similarity 92 member A1
FAM92A2	ENSG00000157021	NA
FAM96A	ENSG00000166797	family with sequence similarity 96 member A
FAM96B	ENSG00000166595	family with sequence similarity 96 member B
FAM98A	ENSG00000119812	family with sequence similarity 98 member A
FAM98B	ENSG00000171262	family with sequence similarity 98 member B
FAM98C	ENSG00000130244	family with sequence similarity 98 member C
FAN1	ENSG00000198690	FANCD2/FANCI-associated nuclease 1
FANCA	ENSG00000187741	Fanconi anemia complementation group A
FANCB	ENSG00000181544	Fanconi anemia complementation group B
FANCC	ENSG00000158169	Fanconi anemia complementation group C
FANCD2	ENSG00000144554	Fanconi anemia complementation group D2
FANCE	ENSG00000112039	Fanconi anemia complementation group E
FANCF	ENSG00000183161	Fanconi anemia complementation group F
FANCG	ENSG00000221829	Fanconi anemia complementation group G
FANCI	ENSG00000140525	Fanconi anemia complementation group I
FANCL	ENSG00000115392	Fanconi anemia complementation group L
FANCM	ENSG00000187790	Fanconi anemia complementation group M
FAR1	ENSG00000197601	fatty acyl CoA reductase 1
FAR2	ENSG00000064763	fatty acyl-CoA reductase 2
FARP1	ENSG00000152767	FERM, ARH/RhoGEF and pleckstrin domain protein 1
FARP2	ENSG00000006607	FERM, ARH/RhoGEF and pleckstrin domain protein 2
FARS2	ENSG00000145982	phenylalanyl-tRNA synthetase 2, mitochondrial
FARSA	ENSG00000179115	phenylalanyl-tRNA synthetase alpha subunit
FARSB	ENSG00000116120	phenylalanyl-tRNA synthetase beta subunit
FAS	ENSG00000026103	Fas cell surface death receptor
FASN	ENSG00000169710	fatty acid synthase
FASTK	ENSG00000164896	Fas-activated serine/threonine kinase
FASTKD1	ENSG00000138399	FAST kinase domains 1
FASTKD2	ENSG00000118246	FAST kinase domains 2
FASTKD3	ENSG00000124279	FAST kinase domains 3
FASTKD5	ENSG00000215251	FAST kinase domains 5
FAT1	ENSG00000083857	FAT atypical cadherin 1
FAU	ENSG00000149806	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed
FBF1	ENSG00000188878	Fas (TNFRSF6) binding factor 1
FBL	ENSG00000105202	fibrillarin
FBLN2	ENSG00000163520	fibulin 2
FBLN5	ENSG00000140092	fibulin 5
FBN1	ENSG00000166147	fibrillin 1
FBRS	ENSG00000156860	fibrosin
FBRSL1	ENSG00000112787	fibrosin-like 1
FBXL12	ENSG00000127452	F-box and leucine-rich repeat protein 12
FBXL13	ENSG00000161040	F-box and leucine-rich repeat protein 13
FBXL14	ENSG00000171823	F-box and leucine-rich repeat protein 14
FBXL15	ENSG00000107872	F-box and leucine-rich repeat protein 15
FBXL16	ENSG00000127585	F-box and leucine-rich repeat protein 16
FBXL17	ENSG00000145743	F-box and leucine-rich repeat protein 17
FBXL18	ENSG00000155034	F-box and leucine-rich repeat protein 18
FBXL19	ENSG00000099364	F-box and leucine-rich repeat protein 19
FBXL20	ENSG00000108306	F-box and leucine-rich repeat protein 20
FBXL3	ENSG00000005812	F-box and leucine-rich repeat protein 3
FBXL4	ENSG00000112234	F-box and leucine-rich repeat protein 4
FBXL5	ENSG00000118564	F-box and leucine-rich repeat protein 5
FBXL6	ENSG00000182325	F-box and leucine-rich repeat protein 6
FBXL8	ENSG00000135722	F-box and leucine-rich repeat protein 8
FBXO10	ENSG00000147912	F-box protein 10
FBXO11	ENSG00000138081	F-box protein 11
FBXO16	ENSG00000214050	F-box protein 16
FBXO18	ENSG00000134452	F-box protein, helicase, 18
FBXO21	ENSG00000135108	F-box protein 21
FBXO22	ENSG00000167196	F-box protein 22
FBXO25	ENSG00000147364	F-box protein 25
FBXO28	ENSG00000143756	F-box protein 28
FBXO3	ENSG00000110429	F-box protein 3
FBXO30	ENSG00000118496	F-box protein 30
FBXO31	ENSG00000103264	F-box protein 31
FBXO32	ENSG00000156804	F-box protein 32
FBXO33	ENSG00000165355	F-box protein 33
FBXO34	ENSG00000178974	F-box protein 34
FBXO36	ENSG00000153832	F-box protein 36
FBXO38	ENSG00000145868	F-box protein 38
FBXO4	ENSG00000151876	F-box protein 4
FBXO41	ENSG00000163013	F-box protein 41
FBXO42	ENSG00000037637	F-box protein 42
FBXO43	ENSG00000156509	F-box protein 43
FBXO44	ENSG00000132879	F-box protein 44
FBXO45	ENSG00000174013	F-box protein 45
FBXO46	ENSG00000177051	F-box protein 46
FBXO48	ENSG00000204923	F-box protein 48
FBXO5	ENSG00000112029	F-box protein 5
FBXO7	ENSG00000100225	F-box protein 7
FBXO8	ENSG00000164117	F-box protein 8
FBXO9	ENSG00000112146	F-box protein 9
FBXW11	ENSG00000072803	F-box and WD repeat domain containing 11
FBXW11;DKFZp781N011;BTRC	NA	NA
FBXW2	ENSG00000119402	F-box and WD repeat domain containing 2
FBXW4	ENSG00000107829	F-box and WD repeat domain containing 4
FBXW5	ENSG00000159069	F-box and WD repeat domain containing 5
FBXW7	ENSG00000109670	F-box and WD repeat domain containing 7
FBXW8	ENSG00000174989	F-box and WD repeat domain containing 8
FBXW9	ENSG00000132004	F-box and WD repeat domain containing 9
FCF1	ENSG00000119616	FCF1 rRNA-processing protein
FCGBP	ENSG00000090920	Fc fragment of IgG binding protein
FCGRT	ENSG00000104870	Fc fragment of IgG, receptor, transporter, alpha
FCHO1	ENSG00000130475	FCH domain only 1
FCHO2	ENSG00000157107	FCH domain only 2
FCHSD2	ENSG00000137478	FCH and double SH3 domains 2
FDFT1	ENSG00000079459	farnesyl-diphosphate farnesyltransferase 1
FDPS	ENSG00000160752	farnesyl diphosphate synthase
FDPSL5	ENSG00000215035	NA
FDX1	ENSG00000137714	ferredoxin 1
FDX1L	ENSG00000167807	ferredoxin 1-like
FDXACB1	ENSG00000086848	ferredoxin-fold anticodon binding domain containing 1
FDXR	ENSG00000161513	ferredoxin reductase
FECH	ENSG00000066926	ferrochelatase
FEM1A	ENSG00000141965	fem-1 homolog a (C. elegans)
FEM1B	ENSG00000169018	fem-1 homolog b (C. elegans)
FEM1C	ENSG00000145780	fem-1 homolog c (C. elegans)
FEN1	ENSG00000168496	flap structure-specific endonuclease 1
FER	ENSG00000151422	fer (fps/fes related) tyrosine kinase
FERMT3	ENSG00000149781	fermitin family member 3
FEZ2	ENSG00000171055	fasciculation and elongation protein zeta 2 (zygin II)
FGD1	ENSG00000102302	FYVE, RhoGEF and PH domain containing 1
FGD3	ENSG00000127084	FYVE, RhoGEF and PH domain containing 3
FGD4	ENSG00000139132	FYVE, RhoGEF and PH domain containing 4
FGD6	ENSG00000180263	FYVE, RhoGEF and PH domain containing 6
FGF11	ENSG00000161958	fibroblast growth factor 11
FGFBP3	ENSG00000174721	fibroblast growth factor binding protein 3
FGFR1	ENSG00000077782	fibroblast growth factor receptor 1
FGFR1OP	ENSG00000213066	FGFR1 oncogene partner
FGFR1OP2	ENSG00000111790	FGFR1 oncogene partner 2
FGFR3	ENSG00000068078	fibroblast growth factor receptor 3
FGFRL1	ENSG00000127418	fibroblast growth factor receptor-like 1
FGGY	ENSG00000172456	FGGY carbohydrate kinase domain containing
FGR	ENSG00000000938	FGR proto-oncogene, Src family tyrosine kinase
FH	ENSG00000091483	fumarate hydratase
FHL1	ENSG00000022267	four and a half LIM domains 1
FHL2	ENSG00000115641	four and a half LIM domains 2
FHL3	ENSG00000183386	four and a half LIM domains 3
FHOD1	ENSG00000135723	formin homology 2 domain containing 1
FIBP	ENSG00000172500	fibroblast growth factor (acidic) intracellular binding protein
FICD	ENSG00000198855	FIC domain containing
FIG4	ENSG00000112367	FIG4 phosphoinositide 5-phosphatase
FIGNL1	ENSG00000132436	fidgetin-like 1
FIP1L1	ENSG00000145216	factor interacting with PAPOLA and CPSF1
FIS1	ENSG00000214253	fission, mitochondrial 1
FITM2	ENSG00000197296	fat storage-inducing transmembrane protein 2
FIZ1	ENSG00000179943	FLT3-interacting zinc finger 1
FJX1	ENSG00000179431	four jointed box 1
FKBP11	ENSG00000134285	FK506 binding protein 11
FKBP14	ENSG00000106080	FK506 binding protein 14
FKBP15	ENSG00000119321	FK506 binding protein 15
FKBP1A	ENSG00000088832	FK506 binding protein 1A
FKBP1A;FKBP12-Exip2	NA	NA
FKBP1C	ENSG00000198225	FK506 binding protein 1C
FKBP2	ENSG00000173486	FK506 binding protein 2
FKBP3	ENSG00000100442	FK506 binding protein 3
FKBP4	ENSG00000004478	FK506 binding protein 4
FKBP5	ENSG00000096060	FK506 binding protein 5
FKBP7	ENSG00000079150	FK506 binding protein 7
FKBP8	ENSG00000105701	FK506 binding protein 8
FKBPL	ENSG00000204315	FK506 binding protein like
FKRP	ENSG00000181027	fukutin related protein
FKTN	ENSG00000106692	fukutin
FLAD1	ENSG00000160688	flavin adenine dinucleotide synthetase 1
FLCN	ENSG00000154803	folliculin
FLG	ENSG00000143631	filaggrin
FLI1	ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor
FLII	ENSG00000177731	flightless I actin binding protein
FLNA	ENSG00000196924	filamin A, alpha
FLNB	ENSG00000136068	filamin B, beta
FLOT1	ENSG00000137312	flotillin 1
FLOT2	ENSG00000132589	flotillin 2
FLT3LG	ENSG00000090554	fms-related tyrosine kinase 3 ligand
FLT4	ENSG00000037280	fms-related tyrosine kinase 4
FLVCR1	ENSG00000162769	feline leukemia virus subgroup C cellular receptor 1
FLYWCH1	ENSG00000059122	FLYWCH-type zinc finger 1
FLYWCH2	ENSG00000162076	FLYWCH family member 2
FMNL1	ENSG00000184922	formin like 1
FMNL2	ENSG00000157827	formin like 2
FMNL3	ENSG00000161791	formin like 3
FMO4	ENSG00000076258	flavin containing monooxygenase 4
FMR1	ENSG00000102081	fragile X mental retardation 1
FN1	ENSG00000115414	fibronectin 1
FN3KRP	ENSG00000141560	fructosamine 3 kinase related protein
FNBP1	ENSG00000187239	formin binding protein 1
FNBP1L	ENSG00000137942	formin binding protein 1-like
FNBP4	ENSG00000109920	formin binding protein 4
FNDC3A	ENSG00000102531	fibronectin type III domain containing 3A
FNDC3B	ENSG00000075420	fibronectin type III domain containing 3B
FNDC8	ENSG00000073598	fibronectin type III domain containing 8
FNIP1	ENSG00000217128	folliculin interacting protein 1
FNIP2	ENSG00000052795	folliculin interacting protein 2
FNTA	ENSG00000168522	farnesyltransferase, CAAX box, alpha
FNTB	ENSG00000125954	farnesyltransferase, CAAX box, beta
FOCAD	NA	focadhesin
FOS	ENSG00000170345	FBJ murine osteosarcoma viral oncogene homolog
FOSL1	ENSG00000175592	FOS-like antigen 1
FOSL2	ENSG00000075426	FOS-like antigen 2
FOXC1	ENSG00000054598	forkhead box C1
FOXD1	ENSG00000183900	forkhead box D1
FOXD2	ENSG00000186564	forkhead box D2
FOXJ2	ENSG00000065970	forkhead box J2
FOXJ3	ENSG00000198815	forkhead box J3
FOXK1	ENSG00000164916	forkhead box K1
FOXK2	ENSG00000141568	forkhead box K2
FOXM1	ENSG00000111206	forkhead box M1
FOXN2	ENSG00000170802	forkhead box N2
FOXN3	ENSG00000053254	forkhead box N3
FOXO1	ENSG00000150907	forkhead box O1
FOXO3	ENSG00000118689	forkhead box O3
FOXO3B	ENSG00000213688	forkhead box O3B pseudogene
FOXO4	ENSG00000184481	forkhead box O4
FOXO6	ENSG00000204060	forkhead box O6
FOXP1	ENSG00000114861	forkhead box P1
FOXP4	ENSG00000137166	forkhead box P4
FOXRED1	ENSG00000110074	FAD-dependent oxidoreductase domain containing 1
FOXRED2	ENSG00000100350	FAD-dependent oxidoreductase domain containing 2
FPGS	ENSG00000136877	folylpolyglutamate synthase
FRAS1	ENSG00000138759	Fraser extracellular matrix complex subunit 1
FRAT1	ENSG00000165879	frequently rearranged in advanced T-cell lymphomas 1
FRAT2	ENSG00000181274	frequently rearranged in advanced T-cell lymphomas 2
FRG1	ENSG00000109536	FSHD region gene 1
FRG1B	ENSG00000149531	FSHD region gene 1 family member B, pseudogene
FRMD4A	ENSG00000151474	FERM domain containing 4A
FRMD4B	ENSG00000114541	FERM domain containing 4B
FRMD5	ENSG00000171877	FERM domain containing 5
FRMD6	ENSG00000139926	FERM domain containing 6
FRMD8	ENSG00000126391	FERM domain containing 8
FRMPD3	ENSG00000147234	FERM and PDZ domain containing 3
FRRS1	ENSG00000156869	ferric-chelate reductase 1
FRS2	ENSG00000166225	fibroblast growth factor receptor substrate 2
FRS3	ENSG00000137218	fibroblast growth factor receptor substrate 3
FRYL	ENSG00000075539	FRY like transcription coactivator
FSD1	ENSG00000105255	fibronectin type III and SPRY domain containing 1
FSD1L	ENSG00000106701	fibronectin type III and SPRY domain containing 1-like
FSD2	ENSG00000186628	fibronectin type III and SPRY domain containing 2
FSTL1	ENSG00000163430	follistatin like 1
FSTL3	ENSG00000070404	follistatin-like 3 (secreted glycoprotein)
FTH1	ENSG00000167996	ferritin, heavy polypeptide 1
FTHL2	ENSG00000234975	NA
FTHL20	ENSG00000226564	NA
FTHL7	ENSG00000232187	NA
FTHL8	ENSG00000219507	NA
FTL	ENSG00000087086	ferritin, light polypeptide
FTLP3	ENSG00000226608	ferritin, light polypeptide pseudogene 3
FTO	ENSG00000140718	fat mass and obesity associated
FTSJ1	ENSG00000068438	FtsJ RNA methyltransferase homolog 1 (E. coli)
FTSJ2	ENSG00000122687	FtsJ RNA methyltransferase homolog 2 (E. coli)
FTSJ3	ENSG00000108592	FtsJ homolog 3 (E. coli)
FTSJD1	ENSG00000180917	NA
FTSJD2	ENSG00000137200	NA
FUBP1	ENSG00000162613	far upstream element (FUSE) binding protein 1
FUBP3	ENSG00000107164	far upstream element (FUSE) binding protein 3
FUCA2	ENSG00000001036	fucosidase, alpha-L- 2, plasma
FUK	ENSG00000157353	fucokinase
FUNDC1	ENSG00000069509	FUN14 domain containing 1
FUNDC2	ENSG00000165775	FUN14 domain containing 2
FURIN	ENSG00000140564	furin (paired basic amino acid cleaving enzyme)
FUS	ENSG00000089280	FUS RNA binding protein
FUT10	ENSG00000172728	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)
FUT11	ENSG00000196968	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
FUT4	ENSG00000196371	fucosyltransferase 4
FUT8	ENSG00000033170	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
FUZ	ENSG00000010361	fuzzy planar cell polarity protein
FXC1	ENSG00000132286	NA
FXN	ENSG00000165060	frataxin
FXR1	ENSG00000114416	fragile X mental retardation, autosomal homolog 1
FXR2	ENSG00000129245	fragile X mental retardation, autosomal homolog 2
FXYD2	ENSG00000137731	FXYD domain containing ion transport regulator 2
FYB	ENSG00000082074	FYN binding protein
FYCO1	ENSG00000163820	FYVE and coiled-coil domain containing 1
FYN	ENSG00000010810	FYN proto-oncogene, Src family tyrosine kinase
FYTTD1	ENSG00000122068	forty-two-three domain containing 1
FZD1	ENSG00000157240	frizzled class receptor 1
FZD2	ENSG00000180340	frizzled class receptor 2
FZD3	ENSG00000104290	frizzled class receptor 3
FZD5	ENSG00000163251	frizzled class receptor 5
FZD6	ENSG00000164930	frizzled class receptor 6
FZD7	ENSG00000155760	frizzled class receptor 7
FZR1	ENSG00000105325	fizzy/cell division cycle 20 related 1
G2E3	ENSG00000092140	G2/M-phase specific E3 ubiquitin protein ligase
G3BP1	ENSG00000145907	GTPase activating protein (SH3 domain) binding protein 1
G3BP2	ENSG00000138757	GTPase activating protein (SH3 domain) binding protein 2
G6PC3	ENSG00000141349	glucose 6 phosphatase, catalytic, 3
G6PD	ENSG00000160211	glucose-6-phosphate dehydrogenase
GAA	ENSG00000171298	glucosidase, alpha; acid
GAB2	ENSG00000033327	GRB2 associated binding protein 2
GAB3	ENSG00000160219	GRB2 associated binding protein 3
GABARAP	ENSG00000170296	GABA(A) receptor-associated protein
GABARAP;GABARAPL1	NA	NA
GABARAPL1	ENSG00000139112	GABA(A) receptor-associated protein like 1
GABARAPL2	ENSG00000034713	GABA(A) receptor-associated protein like 2
GABBR1	ENSG00000204681	gamma-aminobutyric acid (GABA) B receptor, 1
GABPA	ENSG00000154727	GA binding protein transcription factor alpha subunit
GABPB1	ENSG00000104064	GA binding protein transcription factor, beta subunit 1
GABPB2	ENSG00000143458	GA binding protein transcription factor, beta subunit 2
GAD1	ENSG00000128683	glutamate decarboxylase 1
GADD45A	ENSG00000116717	growth arrest and DNA damage inducible alpha
GADD45B	ENSG00000099860	growth arrest and DNA damage inducible beta
GADD45GIP1	ENSG00000179271	GADD45G interacting protein 1
GAK	ENSG00000178950	cyclin G associated kinase
GAL3ST3	ENSG00000175229	galactose-3-O-sulfotransferase 3
GAL3ST4	ENSG00000197093	galactose-3-O-sulfotransferase 4
GALC	ENSG00000054983	galactosylceramidase
GALE	ENSG00000117308	UDP-galactose-4-epimerase
GALK1	ENSG00000108479	galactokinase 1
GALK2	ENSG00000156958	galactokinase 2
GALM	ENSG00000143891	galactose mutarotase (aldose 1-epimerase)
GALNS	ENSG00000141012	galactosamine (N-acetyl)-6-sulfatase
GALNT1	ENSG00000141429	polypeptide N-acetylgalactosaminyltransferase 1
GALNT10	ENSG00000164574	polypeptide N-acetylgalactosaminyltransferase 10
GALNT12	ENSG00000119514	polypeptide N-acetylgalactosaminyltransferase 12
GALNT2	ENSG00000143641	polypeptide N-acetylgalactosaminyltransferase 2
GALNT6	ENSG00000139629	polypeptide N-acetylgalactosaminyltransferase 6
GALNT7	ENSG00000109586	polypeptide N-acetylgalactosaminyltransferase 7
GALNTL4	ENSG00000110328	NA
GALT	ENSG00000213930	galactose-1-phosphate uridylyltransferase
GAMT	ENSG00000130005	guanidinoacetate N-methyltransferase
GAN	ENSG00000127688	gigaxonin
GANAB	ENSG00000089597	glucosidase, alpha; neutral AB
GANC	ENSG00000214013	glucosidase, alpha; neutral C
GAPDH	ENSG00000111640	glyceraldehyde-3-phosphate dehydrogenase
GAPDHL10	ENSG00000235587	NA
GAPDHL14	ENSG00000223460	NA
GAPDHL15	ENSG00000249489	NA
GAPDHL18	ENSG00000216624	NA
GAPDHL4	ENSG00000248180	NA
GAPDHL8	ENSG00000218582	NA
GAPDHP1	ENSG00000228232	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1
GAPDHP40	ENSG00000248626	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40
GAPDHS	ENSG00000105679	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
